Throughput (MB/s) Round	Throughput (MB/s) Throughput (MB/s)	Average Round	Average Throughput (MB/s)	110% Average Round	110% Average Throughput (MB/s)	90% Average Round	90% Average Throughput (MB/s)	Slope Round	Slope Throughput (MB/s)
1	94.12	1	94	1	103	1	85	1	94.12
2	93.75	5	94	5	103	5	85	5	93.48
3	94.87								
4	94.55								
5	93.48								
