Throughput (MB/s) Round	Throughput (MB/s) Throughput (MB/s)	Average Round	Average Throughput (MB/s)	110% Average Round	110% Average Throughput (MB/s)	90% Average Round	90% Average Throughput (MB/s)	Slope Round	Slope Throughput (MB/s)
1	92.67	1	94	1	103	1	85	1	92.67
2	94.92	5	94	5	103	5	85	5	92.84
3	93.94								
4	94.49								
5	92.84								
