0/100 Block Size KiB	0/100 IOPS	5/95 Block Size KiB	5/95 IOPS	35/65 Block Size KiB	35/65 IOPS	50/50 Block Size KiB	50/50 IOPS	65/35 Block Size KiB	65/35 IOPS	95/5 Block Size KiB	95/5 IOPS	100/0 Block Size KiB	100/0 IOPS
0.5	1312	0.5	1362.7	0.5	1830.1	0.5	2263.6	0.5	2944.4	0.5	8011.7	0.5	12528.3
4	1891.5	4	1982.3	4	2711.2	4	3176.9	4	4136.5	4	9789	4	12358.1
8	1784.7	8	1833.7	8	2485.4	8	3044	8	3974.1	8	9237.3	8	11788.7
16	1416.4	16	1486.8	16	2039.7	16	2452.7	16	3219.8	16	7643.5	16	10192.4
32	1218	32	1252.8	32	1676	32	2058.6	32	2637.4	32	6061.4	32	7701.5
64	1022.7	64	1036.9	64	1376.7	64	1554.4	64	2069.1	64	3853.8	64	3860.4
128	574.8	128	593.4	128	790.5	128	894.1	128	1197.9	128	1953.3	128	1957.8
1024	77	1024	76.8	1024	79	1024	80.1	1024	80.8	1024	82.6	1024	80.4
